datetime,cfs,cmd,mmd,siteLs,sitecmd,sitemmd,year,month,day
6/20/06,4.38,10715.98326,1.24E+00,5.745676,496.4264064,0.544645033,2006,6,20
6/21/06,0.63,1541.340058,1.79E-01,1.451176,125.3816064,0.137560106,2006,6,21
6/22/06,0.72,1761.531494,2.05E-01,1.554244,134.2866816,0.147330144,2006,6,22
6/23/06,10.6,25933.65811,3.01E+00,12.86882,1111.866048,1.219863232,2006,6,23
6/24/06,12,29358.85824,3.41E+00,14.4721,1250.38944,1.371841604,2006,6,24
6/25/06,123,300928.297,3.49E+01,141.5893,12233.31552,13.42155544,2006,6,25
6/26/06,95.3,233158.2659,2.71E+01,109.86726,9492.531264,10.41455478,2006,6,26
6/27/06,15.6,38166.51571,4.43E+00,18.59482,1606.592448,1.762643134,2006,6,27
6/28/06,13.1,32050.08691,3.72E+00,15.73182,1359.229248,1.491253183,2006,6,28
6/29/06,2.82,6899.331686,8.01E-01,3.959164,342.0717696,0.375297703,2006,6,29
6/30/06,1.99,4868.677325,5.65E-01,3.008648,259.9471872,0.28519624,2006,6,30
7/1/06,1.67,4085.774438,4.74E-01,2.642184,228.2846976,0.250458326,2006,7,1
7/2/06,1.51,3694.322995,4.29E-01,2.458952,212.4534528,0.233089369,2006,7,2
7/3/06,1.86,4550.623027,5.28E-01,2.859772,247.0843008,0.271083962,2006,7,3
7/4/06,1.81,4428.294451,5.14E-01,2.802512,242.1370368,0.265656163,2006,7,4
7/5/06,4.6,11254.22899,1.31E+00,5.99762,518.194368,0.568527349,2006,7,5
7/6/06,12.9,31560.77261,3.67E+00,15.50278,1339.440192,1.469541987,2006,7,6
7/7/06,1.84,4501.691597,5.23E-01,2.836868,245.1053952,0.268912843,2006,7,7
7/8/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,7,8
7/9/06,1.5,3669.85728,4.26E-01,2.4475,211.464,0.232003809,2006,7,9
7/10/06,1.38,3376.268698,3.92E-01,2.310076,199.5905664,0.218977092,2006,7,10
7/11/06,1.3,3180.542976,3.69E-01,2.21846,191.674944,0.210292613,2006,7,11
7/12/06,1.23,3009.28297,3.49E-01,2.138296,184.7487744,0.202693694,2006,7,12
7/13/06,1.17,2862.488678,3.32E-01,2.069584,178.8120576,0.196180336,2006,7,13
7/14/06,1.08,2642.297242,3.07E-01,1.966516,169.9069824,0.186410297,2006,7,14
7/15/06,1.08,2642.297242,3.07E-01,1.966516,169.9069824,0.186410297,2006,7,15
7/16/06,1.07,2617.831526,3.04E-01,1.955064,168.9175296,0.185324738,2006,7,16
7/17/06,1.06,2593.365811,3.01E-01,1.943612,167.9280768,0.184239178,2006,7,17
7/18/06,1.51,3694.322995,4.29E-01,2.458952,212.4534528,0.233089369,2006,7,18
7/19/06,1.73,4232.56873,4.92E-01,2.710896,234.2214144,0.256971685,2006,7,19
7/20/06,0.99,2422.105805,2.81E-01,1.863448,161.0019072,0.176640259,2006,7,20
7/21/06,0.97,2373.174374,2.76E-01,1.840544,159.0230016,0.17446914,2006,7,21
7/22/06,13.7,33518.02982,3.89E+00,16.41894,1418.596416,1.556386771,2006,7,22
